Key,EN,ES,PT
Start,Start,Comenzar,Começar
Settings,Settings,Ajustes,Configurações
English,English,Inglés,Inglês
Language:,Language:,Idioma:,Linguagem:
This exploration was supposed to do something quiet,This exploration was supposed to do something peaceful,Se suponia que ésta exploración iba hacer algo tranquilo,Esta exploração deveria fazer algo pacífico
"Joking among ourselves, using the supposed legend that was told about the place","Joking among ourselves, using the supposed legend that was told about the place","Bromeando entre nosotros, usando la supuesta leyenda que se contaba del lugar","Brincando entre nós, usando a suposta lenda que foi contada sobre o lugar"
But now it turns out that what they said about the creature is true,But now it turns out that what they said about the creature is true.,Pero ahora resulta que lo que decían sobre la criatura es cierto,Mas agora descobriu-se que o que disseram sobre a criatura é verdade.
"Damn, now I can't find anyone","Damn, now I can't find anyone.","¡Maldición!, ahora no encuentro a nadie","Droga, agora não consigo encontrar ninguém."
"I just hope everyone is well, I hope to find you soon so we can get out of here.","I just hope everyone is okay, I hope to find you soon to get out of here.","Solo espero que todos se encuentren bien, espero encontrarlos pronto para salir de aquí","Só espero que todos estejam bem, espero encontrar vocês logo para sairmos daqui."
I hope I don't meet the shadow I saw back there,I hope I don't run into the shadow I saw back there.,Espero no encontrarme con la sombra que ví alla atras,Espero não esbarrar na sombra que vi lá atrás.
A lever?,A lever?,¿Una palanca?,Uma alavanca?
What will it do if I activate it?,What will it do if I activate it?,¿Qué hará si la activo?,O que acontecerá se eu ativá-lo?
" What, a note?",What? A note?, ¿Qué?¿una nota?, O que? Uma nota?
What was that?,What was that?,¿Que fue eso?,O que é que foi isso?
Was the wall fake?,Was the wall fake?,¿El muro era falso?,A parede era falsa?
OH NO!!! IT'S THE SHADOW!!!,OH NO!!! IT'S THE SHADOW!!!,OH NO!!! ES LA SOMBRA!!!,OH NÃO!!! É A SOMBRA!!!
"Another note, maybe you can tell me something useful.","Another note, maybe you can tell me something useful","Otra nota, talvez pueda decirme algo util","Outra observação, talvez você possa me dizer algo útil"
My God!!!,My God!!!,Dios mio!!!,Meu Deus!!!
What does this note say?,What does this note say?,¿Qué dice esta nota?,O que diz esta nota?
"*Whispering* I have to get out of here, avoiding that thing","*Whispering* I have to get out of here, avoiding that thing","*Susurrando* Debo salir de aquí, evitando esa cosa","*Sussurrando* Eu tenho que sair daqui, evitando aquela coisa"
another note?,another note?,¿otra nota?,outra nota?
Manual? I guess you could help me,Manual? I suppose you could help me.,¿Manual? supongo que me podria ayudar,Manual? Acho que você poderia me ajudar
What is this? What kind of language is this?,What is this? What kind of language is this?,¿Qué es esto? ¿Qué clase de lenguaje es este?,O que é isso? Que tipo de linguagem é essa?
"I guess it's the last one, I have to get out of here","I guess this is the last one, I have to get out of here.","Supongo que es la última, debo salir de aquí","Acho que essa é a última, tenho que sair daqui."
Back,Back,Atras,Voltar
Full Screen:,Full Screen:,Pantalla Completa,Tela cheia
Resolution:,Resolution:,Resolución,Resolução
Music,Music,Música,Música
Credits,Credits,Créditos,Créditos
Load Game,Load Game,Cargar,Carregar jogo
Continue,Continue,Continuar,Continuar
Quit,Quit,Salir,Desistir
Graphics,Graphics,Gráficos,Gráficos
Sound,Sound,Sonido,Som
Main Menu,Main Menu,Menú principal,Menu principal
...,...,...,...
Where am I?,Where am I?,¿Dónde estoy?,Onde estou?
I need to get out of here,I need to get out of here,Necesito salir de aqui,Eu preciso sair daqui
What is this?,What is this?,¿Qué es esto?,O que é isso?
It will be very useful to me,It will be very useful to me,Me será muy util,Será muito útil para mim
A key... How lucky!,A key... How lucky!,Una llave... Que suerte,Uma chave... Que sorte!
Closed,Closed,Cerrado,Fechado
It's going to be impossible to find a key around here,It's going to be impossible to find a key around here.,Va a ser imposible encontrar una llave por aqui,Vai ser impossível encontrar uma chave por aqui.
????!!!!,????!!!!,????!!!!,????!!!!
What was that?!,What was that?!,¿Qué fue eso?!,O que é que foi isso?!
The door is also closed,The door is also closed,La puerta esta tambien cerrada,A porta também está fechada
But... it doesn't have a lock,But... it doesn't have a lock.,Pero ... no tiene cerradura.,Mas... não tem fechadura.
If you are reading this note it is because I couldn't picked it up again,If you are reading this note it is because I couldn't picked it up again,Si estás leyendo esta nota es porque no pude retomarla,Se você está lendo esta nota é porque não consegui pegá-la novamente
Center Left Right,Center\nLeft\nRight,Centro\nIzquierda\nDerecha,Centro\nEsquerda\nDireita
My God!!,My God!!,Dios Mio!!,Meu Deus!!
What does this note say?,What does this note say?,¿Qué dice esta nota?,O que diz esta nota?
It just can't be!!!!,It just can't be!!!!,No puede ser!!!!,Simplesmente não pode ser!!!!
"I have to get out of here, avoiding that thing.","I have to get out of here, avoiding that thing.","Debo salir de aquí, evitando a esa cosa","Tenho que sair daqui, evitando aquela coisa."
Another note?,Another note?,¿Otra nota?,Outra nota?
Manual? I suppose you could help me.,Manual? I suppose you could help me.,¿Manual? supongo que me podria ayudar,Manual? Acho que você poderia me ajudar
What is this? ,What is this? ,¿Qué es esto? ,O que é isso? 
What kind of language is this?,What kind of language is this?,¿Qué clase de lenguaje es este?,Que tipo de linguagem é essa?
"I guess this is the last one, I have to get out of here.","I guess this is the last one, I have to get out of here.","Supongo que es la última, debo salir de aquí","Acho que essa é a última, tenho que sair daqui."
A combination lock?,A combination lock?,¿Un candado con combinación?,Uma fechadura de combinação?
Although... I've already seen those symbols.,Although... I've already seen those symbols.,Aunque.. esos símbolos ya los he visto,Embora... eu já tenha visto esses símbolos.
Continue,Continue,Continuar,Continuar
New Game,New Game,Nueva Partida,Novo jogo
Credits,Credits,Créditos,Créditos
Quit,Quit,Salir,Sair
Back,Back,Atrás,Voltar
Select a Save,Select a Save,Selecciona una Partida,Selecione um jogo
File:,File:,Partida:,Partida:
Tutorial,Tutorial,Tutorial,Tutorial
Level_1,Level_2,Nivel_1,Nível_1
Level_2,Level_3,Nivel_2,Nível_2
SFX:,SFX:,Efectos sonoros:,Efeitos sonoros:
Music:,Music:,Música:,Música:
Language,Language,Idioma,Linguagem
"Check the walls, that's the key.","Check the walls, that's the key.","Revisa las paredes, ahí esta la clave","Verifique as paredes, essa é a chave."
Stage:,Stage:,Nivel:,Nível:
Credits Key,"<size=70>CREDITS</size>

<size=60>LEAD PROGRAMMER</size>

Manuel Alejandro Luna Arce

<size=60>PROGRAMMER</size>

Mauricio Arechederra Trejo
Oscar Alejandro Rios Ramírez

<size=60>LEAD GAME DESIGN</size>

Oscar Alejandro Rios Ramírez

<size=60>GAME DESIGN</size>

Mauricio Arechederra Trejo
Manuel Alejandro Luna Arce

<size=60>ARTIST</size>

Manuel Alejandro Luna Arce
Mauricio Arechederra Trejo
Oscar Alejandro Rios Ramírez

<size=60>PROJECT MANAGER</size>

Manuel Ivan Herrera Maciel

<size=60>MANAGEMENT ASSISTANT</size>

Luis Fernando González Chávez

<size=50>Thanks for playing :D</size>","<size=70>CRÉDITOS</size>

<size=60>PROGRAMADOR PRINCIPAL</size>

Manuel Alejandro Luna Arce

<size=60>PROGRAMADOR</size>

Mauricio Arechederra Trejo
Oscar Alejandro Rios Ramírez

<size=60>DISEÑADOR DE JUEGO PRINCIPAL</size>

Oscar Alejandro Rios Ramírez

<size=60>DISEÑADOR DE JUEGO</size>

Mauricio Arechederra Trejo
Manuel Alejandro Luna Arce

<size=60>ARTISTA</size>

Manuel Alejandro Luna Arce
Mauricio Arechederra Trejo
Oscar Alejandro Rios Ramírez

<size=60>GESTOR DE PROYECTO</size>

Manuel Ivan Herrera Maciel

<size=60>GESTOR ASISTENTE</size>

Luis Fernando González Chávez

<size=50>Gracias por jugar :D</size>","<size=70>CRÉDITOS</size>

<size=60>PROGRAMADOR PRINCIPAL</size>

Manuel Alejandro Luna Arce

<size=60>PROGRAMADOR</size>

Mauricio Arechederra Trejo
Oscar Alejandro Rios Ramirez

<size=60>DESIGNER CHEFE DE JOGOS</size>

Oscar Alejandro Rios Ramirez

<size=60>DESIGNER DE JOGOS</size>

Mauricio Arechederra Trejo
Manuel Alejandro Luna Arce

<size=60>ARTISTA</size>

Manuel Alejandro Luna Arce
Mauricio Arechederra Trejo
Oscar Alejandro Rios Ramirez

<size=60>GERENTE DE PROJETO</size>

Manuel Iván Herrera Maciel

<size=60>GERENTE ASSISTENTE</size>

Luis Fernando González Chávez

<size=50>Obrigado por jogar :D</size>"